receipt_id,difficulty,category,raw_cer,raw_conf,raw_merchant_ok,raw_date_ok,raw_subtotal_ok,raw_tax_ok,raw_total_ok,raw_item_recall,raw_time_s,grayscale_cer,grayscale_conf,grayscale_merchant_ok,grayscale_date_ok,grayscale_subtotal_ok,grayscale_tax_ok,grayscale_total_ok,grayscale_item_recall,grayscale_time_s,pipeline_cer,pipeline_conf,pipeline_merchant_ok,pipeline_date_ok,pipeline_subtotal_ok,pipeline_tax_ok,pipeline_total_ok,pipeline_item_recall,pipeline_time_s
R0000_IUC0,hard,grocery,0.4071856287425149,63.21212121212121,False,False,True,False,True,0.6666666666666666,4.76837158203125e-07,0.6526946107784432,53.8,False,True,False,False,False,0.3333333333333333,0.0005970001220703,0.2754491017964072,76.27586206896552,False,False,True,False,True,1.0,0.1486964225769043
R0001_ZCCB,easy,pharmacy,0.1254901960784313,84.4,True,True,True,True,True,1.0,4.76837158203125e-07,0.1372549019607843,80.5111111111111,True,True,True,True,True,1.0,0.000493049621582,0.1294117647058823,85.88888888888889,True,True,True,True,True,1.0,0.1365785598754882
R0002_Q5C3,easy,grocery,0.079136690647482,77.47169811320755,True,True,True,True,True,1.0,2.384185791015625e-07,0.0647482014388489,77.66037735849056,True,True,True,True,True,1.0,0.0006055831909179,0.0971223021582733,79.71698113207547,True,True,True,True,True,1.0,0.142113447189331
R0003_4CC5,easy,electronics,0.1314741035856573,88.5111111111111,True,True,True,True,True,1.0,2.384185791015625e-07,0.1394422310756972,87.04444444444445,True,True,True,True,True,0.8333333333333334,0.0004608631134033,0.1434262948207171,86.73333333333333,True,True,True,True,True,1.0,0.1187152862548828
R0004_F4ZW,easy,grocery,0.0633802816901408,87.86,True,True,True,True,True,1.0,2.384185791015625e-07,0.0598591549295774,88.32,True,True,True,True,True,1.0,0.0006184577941894,0.0704225352112676,86.04,True,True,True,True,True,1.0,0.1461491584777832
R0005_6T4U,easy,cafe,0.2023809523809523,76.29629629629629,True,False,False,False,False,0.3333333333333333,4.76837158203125e-07,0.1845238095238095,76.37037037037037,True,True,False,False,False,0.0,0.0004019737243652,0.1071428571428571,91.88888888888889,True,True,True,True,True,1.0,0.1194419860839843
R0006_Y0IF,medium,grocery,0.3648648648648648,66.0,True,True,False,False,False,0.5,2.384185791015625e-07,0.4054054054054054,61.958333333333336,True,False,False,False,False,0.5,0.000401496887207,0.1351351351351351,83.5,True,False,False,True,True,1.0,0.1065058708190918
R0007_LA5J,hard,pharmacy,1.0,33.47058823529412,False,False,False,True,True,1.0,2.384185791015625e-07,1.3333333333333333,35.11594202898551,False,False,True,True,True,1.0,0.0005030632019042,0.3511904761904761,62.71428571428572,False,False,True,False,True,1.0,0.1453950405120849
R0008_XLL4,medium,pharmacy,0.0985915492957746,74.57894736842105,True,True,True,True,True,0.75,4.76837158203125e-07,0.107981220657277,74.78947368421052,True,True,True,True,True,0.75,0.0004379749298095,0.1314553990610328,79.8157894736842,True,True,False,True,True,0.75,0.1225166320800781
R0009_R62G,easy,grocery,0.1554621848739495,84.63636363636364,True,True,True,True,True,1.0,4.76837158203125e-07,0.1512605042016806,86.20454545454545,True,True,True,True,True,1.0,0.0006043910980224,0.1638655462184874,86.0909090909091,True,True,True,True,True,1.0,0.1347525119781494
R0010_2ZQU,medium,grocery,0.5056818181818182,55.75862068965517,True,True,False,False,False,0.0,4.76837158203125e-07,0.4659090909090909,60.93103448275862,True,True,False,False,False,0.3333333333333333,0.0004606246948242,0.1704545454545454,77.5625,True,False,True,True,True,1.0,0.1204135417938232
R0011_CKJL,easy,grocery,0.2032085561497326,80.24324324324324,True,True,True,True,False,1.0,7.152557373046875e-07,0.2085561497326203,81.8108108108108,True,True,True,True,False,1.0,0.0004241466522216,0.1871657754010695,84.21621621621621,True,True,True,True,True,1.0,0.1367835998535156
R0012_64T0,hard,cafe,0.8361581920903954,42.38333333333333,False,False,False,True,False,0.6666666666666666,4.76837158203125e-07,0.943502824858757,36.17857142857143,False,False,False,False,False,0.0,0.0004482269287109,0.2203389830508474,81.70588235294117,True,False,False,True,True,0.6666666666666666,0.133908987045288
R0013_HL1N,easy,electronics,0.1298701298701298,82.34615384615384,True,True,True,True,True,1.0,4.76837158203125e-07,0.1623376623376623,88.04,True,False,True,True,True,0.5,0.0004081726074218,0.1363636363636363,87.53846153846153,True,False,True,True,True,1.0,0.1096048355102539
R0014_Z1GV,medium,grocery,0.196078431372549,81.175,True,False,True,True,True,1.0,4.76837158203125e-07,0.1813725490196078,85.125,True,False,True,True,True,1.0,0.0004782676696777,0.1862745098039215,86.1,True,False,True,True,True,1.0,0.1390125751495361
R0015_RPN6,hard,electronics,0.848314606741573,33.32727272727273,False,False,False,True,True,0.6666666666666666,4.76837158203125e-07,0.9101123595505618,34.11666666666667,False,False,False,True,False,0.6666666666666666,0.0004439353942871,0.146067415730337,81.03448275862068,True,False,True,False,True,0.6666666666666666,0.1212031841278076
R0016_MRLR,medium,pharmacy,0.1932367149758454,77.55555555555556,True,False,True,True,True,1.0,9.5367431640625e-07,0.1980676328502415,78.55555555555556,True,False,True,True,True,1.0,0.0004549026489257,0.1980676328502415,80.41666666666667,True,False,True,True,True,0.75,0.1294333934783935
R0017_LZJJ,hard,grocery,0.3556701030927835,50.47368421052632,False,False,False,True,False,0.75,4.76837158203125e-07,0.3865979381443299,46.97368421052632,False,False,False,True,False,0.75,0.000446081161499,0.1752577319587628,80.23529411764706,True,False,True,True,True,0.75,0.1207141876220703
R0018_DAKR,hard,pharmacy,1.4146341463414631,19.96,False,False,False,False,False,0.0,7.152557373046875e-07,0.902439024390244,26.33333333333333,False,False,False,False,False,0.0,0.0003614425659179,0.3658536585365853,62.61538461538461,False,True,False,True,True,1.0,0.1577701568603515
R0019_ISQP,medium,electronics,0.3881856540084388,60.36842105263158,True,False,False,False,False,0.3333333333333333,2.384185791015625e-07,0.3755274261603376,62.31578947368421,True,False,False,False,False,0.1666666666666666,0.0005233287811279,0.1139240506329113,84.775,True,False,True,True,True,1.0,0.143190860748291
R0020_X63C,medium,cafe,0.4272300469483568,66.34210526315789,True,True,False,False,False,0.3333333333333333,2.384185791015625e-07,0.4741784037558685,66.89473684210526,True,True,False,False,False,0.3333333333333333,0.0004913806915283,0.1971830985915492,83.6,True,False,True,True,True,0.8333333333333334,0.1442542076110839
R0021_WRDM,hard,pharmacy,0.8153310104529616,43.5959595959596,False,False,True,True,True,1.0,4.76837158203125e-07,0.8850174216027874,40.89473684210526,False,False,True,True,True,1.0,0.0005817413330078,0.1080139372822299,74.24489795918367,True,False,True,True,False,1.0,0.1387891769409179
R0022_PZE9,easy,cafe,0.1843575418994413,92.12121212121212,True,True,True,True,True,1.0,4.76837158203125e-07,0.1787709497206704,92.1818181818182,True,True,True,True,True,1.0,0.0004465579986572,0.1787709497206704,92.72727272727272,True,True,True,True,True,1.0,0.1193077564239502
R0023_2O7S,medium,grocery,0.2093862815884476,68.34615384615384,True,True,True,True,True,0.5714285714285714,2.384185791015625e-07,0.2454873646209386,68.98039215686275,False,True,True,False,True,0.5714285714285714,0.0005505084991455,0.1588447653429603,81.34615384615384,True,False,False,True,True,1.0,0.1365587711334228
R0024_AF58,hard,grocery,0.5737704918032787,39.36842105263158,False,False,False,False,False,0.0,4.76837158203125e-07,0.5300546448087432,41.888888888888886,False,False,False,False,False,0.0,0.0004646778106689,0.2568306010928962,81.61111111111111,True,False,True,True,True,0.75,0.1308655738830566
R0025_BLCM,hard,electronics,0.5,48.41860465116279,False,False,False,False,False,0.0,4.76837158203125e-07,0.6263157894736842,36.21739130434783,False,False,False,False,False,0.0,0.0004220008850097,0.131578947368421,82.90322580645162,True,False,True,True,True,0.3333333333333333,0.1125926971435546
R0026_PMVX,hard,electronics,0.9735449735449736,35.134328358208954,False,False,False,False,False,0.75,2.384185791015625e-07,0.8571428571428571,38.483870967741936,False,False,False,False,False,0.5,0.0004241466522216,0.3862433862433862,63.212765957446805,False,False,True,True,True,1.0,0.1728692054748535
R0027_1I2H,medium,cafe,0.9504504504504504,44.793103448275865,False,True,True,True,False,1.0,4.76837158203125e-07,0.8603603603603603,49.23943661971831,False,False,False,False,False,0.7142857142857143,0.0005528926849365,0.2927927927927928,73.73076923076923,False,False,True,True,True,1.0,0.2008695602416992
R0028_N2AT,hard,electronics,0.1355311355311355,79.72916666666667,True,False,True,False,True,0.8571428571428571,4.76837158203125e-07,0.1648351648351648,76.2,True,False,False,False,True,0.8571428571428571,0.0004580020904541,0.1465201465201465,80.58333333333333,True,True,True,False,True,0.8571428571428571,0.1450109481811523
R0029_5X4W,hard,pharmacy,0.9927272727272728,38.56603773584906,False,False,True,True,True,1.0,2.384185791015625e-07,1.2727272727272727,34.52755905511811,False,False,True,True,True,1.0,0.0005433559417724,0.4436363636363636,57.738461538461536,False,False,False,False,True,0.5714285714285714,0.2108111381530761
R0030_6A4F,easy,cafe,0.24,86.24137931034483,True,True,True,True,True,1.0,7.152557373046875e-07,0.2266666666666666,87.86206896551724,True,True,True,True,True,1.0,0.000392198562622,0.2466666666666666,86.17857142857143,True,True,True,True,True,1.0,0.1207704544067382
R0031_25SQ,easy,grocery,0.1261261261261261,83.425,True,True,True,True,True,1.0,4.76837158203125e-07,0.1216216216216216,84.375,True,True,True,True,True,1.0,0.000462532043457,0.1126126126126126,82.15,True,True,True,True,True,1.0,0.135871410369873
